Scenario_ID,Turn,Role,Original_Text,Agent_New_Response,Decision,Is_Correct
1,1,user,請問你們的退換貨政策是什麼？,"JTCG Shop 提供 7 天鑑賞期（含例假日）。商品需保持全新、完整包裝與配件。若為非瑕疵退換貨，可能需自行負擔來回運費。
🔗 詳情參考: https://example.com/jtcg/policies/returns",3,
2,1,user,保固多久？維修怎麼申請？,"臂架與支架類商品享有 1 年有限保固。非人為損壞可申請檢測與維修；需提供訂單編號或發票資訊。
🔗 詳情參考: https://example.com/jtcg/policies/warranty",3,
3,1,user,發票可以開三聯式嗎？要怎麼填統編？,"本店提供電子發票，出貨完成後將以 Email 寄送或於會員中心可下載查詢。若需三聯式發票，請於下單時備註統編與抬頭。
🔗 詳情參考: https://example.com/jtcg/policies/invoice",3,
4,1,user,出貨大概幾天？有免運嗎？,"現貨商品於 1–2 個工作天出貨；預購商品依頁面標示為準。標準運送滿 NT$1,500 免運；離島或外島運費另計。
🔗 詳情參考: https://example.com/jtcg/policies/shipping",3,
5,1,user,VESA 100x100 的螢幕可以用哪支臂？,"JTCG Shop 臂架支援常見 VESA 75×75、100×100。部分超寬螢幕需使用強化背板或專用轉接板。
🔗 詳情參考: https://example.com/jtcg/guides/vesa-mounting",3,
6,1,user,我的桌板厚 85mm，夾具能裝嗎？,"夾具建議安裝於 10–85mm 厚之桌板；如為玻璃或軟木材質，建議使用墊片或改用穿孔固定方式。
🔗 詳情參考: https://example.com/jtcg/guides/desk-compat",3,
7,1,user,我要找真人客服,好的，請提供您的 Email 以便為您轉接真人客服。,1,
8,1,user,轉真人，謝謝,好的，請提供您的 Email 以便為您轉接真人客服。,1,
9,1,user,human agent please,Please provide your Email to transfer to a human agent.,1,
10,1,user,connect to agent,Please provide your Email to transfer to a human agent.,1,
11,1,user,我想要推薦雙螢幕支架，27 吋,"可混搭，但建議兩側重量相近以利平衡。使用雙臂時，請分別調整各臂張力，使兩台螢幕都能穩定停駐。
🔗 詳情參考: https://example.com/jtcg/guides/dual-setup",3,
12,1,user,34 吋曲面螢幕適合哪一款臂架？,"為您推薦：JTCG 壁掛式伸縮臂（至 34 吋）
規格：螢幕支援: 34.0 吋 | 承重: 2-12kg
🔗 產品頁: https://example.com/jtcg/p/JTCG-WALL-ARM-34",4,
13,1,user,49 吋超寬螢幕有支援的重載臂嗎？,"為您推薦：JTCG 超寬螢幕重載臂（至 49 吋）
規格：螢幕支援: 49.0 吋 | 承重: 5-18kg
🔗 產品頁: https://example.com/jtcg/p/JTCG-ARM-ULTRAWIDE-49",4,
14,1,user,要壁掛有推薦嗎？,"建議安裝於磚牆或實心牆面；若為石膏板/輕隔間需使用對應膨脹螺絲或請專業安裝。請先評估牆面承重。
🔗 詳情參考: https://example.com/jtcg/guides/wall-mount",3,
15,1,user,有沒有筆電托盤可以接 VESA？,"JTCG Shop 臂架支援常見 VESA 75×75、100×100。部分超寬螢幕需使用強化背板或專用轉接板。
🔗 詳情參考: https://example.com/jtcg/guides/vesa-mounting",3,
16,1,user,走線管理套件有賣嗎？,"建議沿臂架後側與走線槽固定，預留轉動餘量避免拉扯。轉接器與變壓器避免懸空以降低接口受力。
🔗 詳情參考: https://example.com/jtcg/guides/cable-management",3,
17,1,user,請問可用 Apple Pay 或 LINE Pay 嗎？,您好！我是 JTCG 助手。我可以幫您查詢訂單、了解退換貨政策或推薦產品。請問您的 User ID 是？或想了解哪款支架？,5,
18,1,user,可以分期付款嗎？,"JTCG Shop 支援信用卡（VISA/Master/JCB）、Apple Pay、Google Pay、LINE Pay。部分銀行提供 3/6/12 期分期，實際手續費與門檻以結帳頁提示為準。
🔗 詳情參考: https://example.com/jtcg/policies/payment",3,
19,1,user,海外寄送香港可以嗎？,"目前主要配送台灣本島；離島/外島運費與時程將於結帳頁顯示。海外配送可先透過客服評估可行方案與預估費用。
🔗 詳情參考: https://example.com/jtcg/policies/international",3,
20,1,user,缺貨能設定到貨通知嗎？,"商品頁可點選「到貨通知我」，系統會在補貨後以 Email 通知。提醒僅代表可下單，實際購買以結帳成功為準。
🔗 詳情參考: https://example.com/jtcg/account/notifications",3,
21,1,user,有提供到府安裝嗎？,"特定地區提供到府安裝（由合作廠商執行），費用依地區與安裝難度另計。下單前可先與客服確認是否支援。
🔗 詳情參考: https://example.com/jtcg/services/installation",3,
22,1,user,夾具跟穿孔裝哪個比較穩？,"夾具安裝免鑽孔、便利度高；穿孔固定穩定性更佳、適合厚桌板或特殊材質。若為玻璃/軟木桌板，建議使用墊片或改穿孔。
🔗 詳情參考: https://example.com/jtcg/guides/clamp-vs-grommet",3,
