id,title,content,urls/0/label,urls/0/href,images/0,tags/0,tags/1,tags/2
FAQ-RET-001,退換貨政策,JTCG Shop 提供 7 天鑑賞期（含例假日）。商品需保持全新、完整包裝與配件。若為非瑕疵退換貨，可能需自行負擔來回運費。,退換貨條款,https://example.com/jtcg/policies/returns,https://example.com/jtcg/img/policy_returns.png,退換貨,鑑賞期,政策
FAQ-WAR-002,保固與維修,臂架與支架類商品享有 1 年有限保固。非人為損壞可申請檢測與維修；需提供訂單編號或發票資訊。,保固說明,https://example.com/jtcg/policies/warranty,https://example.com/jtcg/img/policy_warranty.png,保固,維修,售後服務
FAQ-INV-003,發票與開立方式,本店提供電子發票，出貨完成後將以 Email 寄送或於會員中心可下載查詢。若需三聯式發票，請於下單時備註統編與抬頭。,發票常見問題,https://example.com/jtcg/policies/invoice,https://example.com/jtcg/img/faq_invoice.png,發票,電子發票,統編
FAQ-SHP-004,出貨時程與運費,"現貨商品於 1–2 個工作天出貨；預購商品依頁面標示為準。標準運送滿 NT$1,500 免運；離島或外島運費另計。",運送說明,https://example.com/jtcg/policies/shipping,https://example.com/jtcg/img/policy_shipping.png,出貨,運費,免運門檻
FAQ-VESA-005,VESA 相容與安裝,JTCG Shop 臂架支援常見 VESA 75×75、100×100。部分超寬螢幕需使用強化背板或專用轉接板。,安裝指南,https://example.com/jtcg/guides/vesa-mounting,https://example.com/jtcg/img/guide_vesa.png,VESA,安裝,相容性
FAQ-DESK-006,桌板厚度與夾具相容,夾具建議安裝於 10–85mm 厚之桌板；如為玻璃或軟木材質，建議使用墊片或改用穿孔固定方式。,桌板相容建議,https://example.com/jtcg/guides/desk-compat,https://example.com/jtcg/img/guide_desk.png,桌板,夾具,穿孔安裝
FAQ-CS-007,客服聯絡與服務時段,線上客服服務時段為週一至週五 09:30–18:00（國定假日除外）。若遇尖峰，請留下 Email，我們將盡速回覆。,聯絡我們,https://example.com/jtcg/support/contact,https://example.com/jtcg/img/support.png,客服,聯絡,服務時段
FAQ-PROMO-008,優惠券與活動使用規則,每筆訂單限使用一張優惠券；不得與部分專案或企業報價合併使用；活動期間與適用品項以頁面公告為準。,活動總覽,https://example.com/jtcg/promotions,https://example.com/jtcg/img/promo.png,優惠券,活動,規則
FAQ-PAY-009,付款方式與分期,JTCG Shop 支援信用卡（VISA/Master/JCB）、Apple Pay、Google Pay、LINE Pay。部分銀行提供 3/6/12 期分期，實際手續費與門檻以結帳頁提示為準。,付款說明,https://example.com/jtcg/policies/payment,https://example.com/jtcg/img/faq_payment.png,付款,分期,金流
FAQ-INT-010,海外與離島配送,目前主要配送台灣本島；離島/外島運費與時程將於結帳頁顯示。海外配送可先透過客服評估可行方案與預估費用。,配送範圍,https://example.com/jtcg/policies/international,https://example.com/jtcg/img/faq_international.png,海外,離島,運送
FAQ-NTF-011,缺貨通知與到貨提醒,商品頁可點選「到貨通知我」，系統會在補貨後以 Email 通知。提醒僅代表可下單，實際購買以結帳成功為準。,通知設定,https://example.com/jtcg/account/notifications,https://example.com/jtcg/img/faq_notify.png,缺貨,到貨通知,提醒
FAQ-ASM-012,是否提供到府安裝服務,特定地區提供到府安裝（由合作廠商執行），費用依地區與安裝難度另計。下單前可先與客服確認是否支援。,安裝服務,https://example.com/jtcg/services/installation,https://example.com/jtcg/img/faq_installation.png,安裝,到府,服務
FAQ-MNT-013,夾具 vs 穿孔固定差異,夾具安裝免鑽孔、便利度高；穿孔固定穩定性更佳、適合厚桌板或特殊材質。若為玻璃/軟木桌板，建議使用墊片或改穿孔。,安裝方式比較,https://example.com/jtcg/guides/clamp-vs-grommet,https://example.com/jtcg/img/guide_mount.png,夾具,穿孔,安裝
FAQ-WGT-014,超寬螢幕重量與相容性,選購臂架時請以「螢幕淨重（不含原廠腳座）」為準，並確認 VESA 規格與臂架承重範圍。超寬/曲面機種建議搭配強化背板。,重量與相容性,https://example.com/jtcg/guides/weight-compat,https://example.com/jtcg/img/guide_weight.png,承重,超寬螢幕,VESA
FAQ-GAS-015,氣壓臂張力如何調整,安裝後以附贈六角扳手順時針/逆時針微調張力，使螢幕能穩定停在常用高度。請逐步調整並避免一次轉動過多圈數。,張力調整指南,https://example.com/jtcg/guides/gas-spring-tuning,https://example.com/jtcg/img/guide_tension.png,氣壓臂,張力,調整
FAQ-NOV-016,無 VESA 螢幕如何安裝,可搭配 VESA 轉接板或筆電托盤類配件，確認托盤/轉接板的負重與尺寸範圍後再安裝。,VESA 轉接方案,https://example.com/jtcg/guides/vesa-adapter,https://example.com/jtcg/img/guide_adapter.png,無VESA,轉接板,相容性
FAQ-SAF-017,桌面保護與兒童安全,夾具建議加裝保護墊片，避免桌面刮傷。請避免孩童攀爬或懸掛螢幕臂，並定期檢查螺絲鎖固狀況。,安全建議,https://example.com/jtcg/guides/safety,https://example.com/jtcg/img/guide_safety.png,安全,桌面保護,兒童
FAQ-WALL-018,壁掛安裝需注意的牆體條件,建議安裝於磚牆或實心牆面；若為石膏板/輕隔間需使用對應膨脹螺絲或請專業安裝。請先評估牆面承重。,壁掛指南,https://example.com/jtcg/guides/wall-mount,https://example.com/jtcg/img/guide_wall.png,壁掛,牆體,承重
FAQ-RMA-019,保固申請與維修流程,請備妥訂單編號與故障影片/照片，於線上表單提交 RMA。客服會於工作日內回覆檢測與處理方式。,線上維修申請,https://example.com/jtcg/support/rma,https://example.com/jtcg/img/support_rma.png,保固,維修,RMA
FAQ-INV-020,發票重發與抬頭變更,電子發票可於會員中心補發下載；抬頭/統編需於下單時填寫，若遺漏請於出貨前聯繫客服協助。,發票服務,https://example.com/jtcg/policies/invoice-service,https://example.com/jtcg/img/faq_invoice_edit.png,發票,重發,抬頭
FAQ-B2B-021,企業/學校/大量採購,可提供專案報價、到府安裝與教育/企業折扣評估。請提供需求數量、安裝地點與時程以利評估。,大量採購洽詢,https://example.com/jtcg/b2b/quote,https://example.com/jtcg/img/faq_b2b.png,企業,大量採購,報價
FAQ-RET-022,退貨實際流程與退款時程,線上提出申請→包裝回收→檢查完成後辦理退款。退款時程約 7–14 個工作天，依支付方式與銀行作業為準。,退貨流程,https://example.com/jtcg/policies/return-flow,https://example.com/jtcg/img/faq_return_flow.png,退貨,退款,流程
